i,seed_i,m,c1,c2,c3,c4,c5,c6,loglik,penalty,penlik,truelik,truepen,truepenlike
72,71543,4,8.489694967676995,22.57295330544346,43.56715024492685,61.69783850043693,0,0,631.1903566472804,42.67700465026208,673.8673612975425,628.0261678119456,42.65500765430911,670.6811754662547
73,72543,4,7.358576966660415,21.32100571683383,43.1410784585306,57.7923479522985,0,0,614.6746328498336,42.63384848991851,657.3084813397521,613.3633654221642,42.65500765430911,656.0183730764733
74,73543,4,7.4165109032356735,20.756777968594896,48.80448236928407,59.36033581532233,0,0,597.5020004655689,42.55223949701838,640.0542399625873,599.1588563068605,42.65500765430911,641.8138639611695
75,74543,4,8.260880208039127,21.33144869371475,44.17469899448052,59.59777480970979,0,0,629.9624545243519,42.638474127193845,672.6009286515457,629.6714695942173,42.65500765430911,672.3264772485264
76,75543,4,7.445923624498669,21.480057032048876,44.310996123016935,61.797451151356995,0,0,623.263386616543,42.70017723785026,665.9635638543933,621.7569941698133,42.65500765430911,664.4120018241224
77,76543,4,7.8766416912274,20.544832327559273,41.85621863951887,59.94936333642215,0,0,626.1256010329203,42.66213366566271,668.787734698583,625.5229269272158,42.65500765430911,668.1779345815249
78,77543,4,9.476892502819194,19.766384247347734,44.32199356886606,59.0665225227267,0,0,616.2564502465973,42.540633983669224,658.7970842302665,617.0747900897302,42.65500765430911,659.7297977440393
79,78543,5,8.222476038791903,20.155552554439367,28.372234555781024,42.925434114120854,59.288788545888174,0,609.5223460778692,49.6014826310942,659.1238287089634,609.8136003842038,42.65500765430911,652.4686080385129
80,79543,4,9.762309080797513,21.849851554290215,41.56130277343134,60.37575501078328,0,0,620.460567979369,42.607345985416295,663.0679139647852,616.4530904301812,42.65500765430911,659.1080980844903
81,80543,4,11.35235745908663,19.92965391655826,39.84300801764809,62.60493211504454,0,0,623.2749796588602,42.50079937768594,665.775779036546,624.9119981299185,42.65500765430911,667.5670057842276
82,81543,4,9.792486798028808,20.17171292531485,44.0687306740798,58.71190624674486,0,0,624.7577563175122,42.52884386100811,667.2866001785203,625.7812189455993,42.65500765430911,668.4362265999084
83,82543,4,7.969614586727451,20.974441680591553,47.73095317187087,57.891905771277926,0,0,633.3239756670937,42.53731301544354,675.8612886825372,632.4781148158695,42.65500765430911,675.1331224701786
84,83543,4,11.1045624499301,18.484789833700084,42.31407522036283,61.88434291341813,0,0,615.9972503260817,42.472040225999244,658.4692905520809,626.2169239755885,42.65500765430911,668.8719316298976
